DAY/Time,9 AM to 10 AM,10 AM to 11 AM,11:00 AM to 11:15 AM,11:15 AM to 12:15 PM,12:15 PM to 1:15 PM,1:15 PM to 2:15 PM,2:15 PM to 3:15 PM,3:15 PM to 4:15 PM,4:15 PM to 4:30 PM,4:30 PM to 5:30 PM,5:30 PM to 6:30 PM
MONDAY,,,SHORT BREAK,TG Meeting,Library,LUNCH BREAK,DS (PP) CR 12,EL-5(GE)(AAJ) CR 12,SHORT BREAK,Practicals (B1: LP-5-(SB) - FPL-2 B2: LP-6(AAJ)-V1 B3: S&E(AP) -V2 B4:LP-5(HP)-ISL(3rd Floor)),
TUESDAY,,,SHORT BREAK,EL-6(CN)(CN) CR-12,DS (PP) CR 12,LUNCH BREAK,EL-5(GE)(AAJ) CR 12,Library,SHORT BREAK,Practicals (B1: LP-6-(AAJ) - ISL(3rd Floor) B2: LP-5(HP)-FPL-3 B3: Library B4:S&E(AP)-N/W),
WEDNESDAY,EL-6(BT)(CN) CR-12,EL-6(BT)(CN) CR-12,SHORT BREAK,Practicals (B1: S&E(AP) -FPL-2 B2: Library B3: LP-5(CN)-H/W B4:Library),,LUNCH BREAK,DS (PP) CR 12,Library,SHORT BREAK,Practicals (B1: LP-5(SB)-V-2 B2: S&E(AP)-V1 B3: LP-6(AAJ)-ISL(3rd Floor) B4:LP-5(HP)-N/W),
THURSDAY,,,SHORT BREAK,EL-5(GE)(AAJ) CR 12,Audit-Course-8,LUNCH BREAK,Practicals (B1:Library B2: Library B3: LP-5(CN)-FPL-2 B4:Library),,SHORT BREAK,,
FRIDAY,Practicals (B1: Project-Stage-2 B2: Project-Stage-2 B3: Project-Stage-2 B4:Project-Stage-2),,SHORT BREAK,Practicals (B1: Project-Stage-2 B2: Project-Stage-2 B3: Project-Stage-2 B4:LP-6(AAJ)-FPL-1),,LUNCH BREAK,Practicals (B1: Project-Stage-2 B2: Project-Stage-2 B3: LP-5(HP)-FPL-3 B4:Project-Stage-2),,SHORT BREAK,,
SATURDAY,,,,,,,,,,,
