DAY/Time,9 AM to 10 AM,10 AM to 11 AM,11:00 AM to 11:15 AM,11:15 AM to 12:15 PM,12:15 PM to 1:15 PM,1:15 PM to 2:15 PM,2:15 PM to 3:15 PM,3:15 PM to 4:15 PM,4:15 PM to 4:30 PM,4:30 PM to 5:30 PM,5:30 PM to 6:30 PM
MONDAY,,,SHORT BREAK,Practicals (A1: ADSAL A2: WADL A3: CNL A4: NC3),,LUNCH BREAK,NC-4 CR 41,,SHORT BREAK,SE(MR) CR 40,Library
TUESDAY,WAD-(DG) CR 40,CN(RT) CR 40,SHORT BREAK,Practicals (A1: CNL A2: ADSAL A3: NC3 A4: CNL),,LUNCH BREAK,Practicals (A1: SWLL A2: SWLL A3: SWLL A4: SWLL),,SHORT BREAK,ADSA (SB) CR 12,
WEDNESDAY,SDG CR 40,,SHORT BREAK,ADSA (SB) CR 40,CN(RT) CR 40,LUNCH BREAK,Practicals (A1: NC3 A2: CNL A3: Library A4: WADL),,SHORT BREAK,,
THURSDAY,CN(RT) CR 40,EMSP (PP) CR 40,SHORT BREAK,Practicals (A1: WADL A2: NC3 A3: ADSAL A4: Library),,LUNCH BREAK,MDM (CN) CR 40,,SHORT BREAK,SE(MR) CR 12,
FRIDAY,TG Meeting,SWL CR 40,SHORT BREAK,EMSD (PP) CR 40,ADSA (SB) CR 40,LUNCH BREAK,OE (MP) CR 40,,SHORT BREAK,Practicals (A1:Library A2: Library A3: WADL A4: ADSAL),
SATURDAY,,,,,,,,,,,
