DAY/Time,9 AM to 10 AM,10 AM to 11 AM,11:00 AM to 11:15 AM,11:15 AM to 12:15 PM,12:15 PM to 1:15 PM,1:15 PM to 2:15 PM,2:15 PM to 3:15 PM,3:15 PM to 4:15 PM,4:15 PM to 4:30 PM,4:30 PM to 5:30 PM,5:30 PM to 6:30 PM
MONDAY,SDG 41,,SHORT BREAK,SE(AAJ) CR 41,EMSP (AP) CR 41,LUNCH BREAK,Practicals (B1: ADSL B2: WAD B3: CNL B4: NC3),,SHORT BREAK,,
TUESDAY,NC-4 CR N6,,SHORT BREAK,VAD (DG) CR 40,SE(AAJ) CR 40,LUNCH BREAK,Practicals (B1: CNL B2: ADSL B3: NC3 B4: Library),,SHORT BREAK,,
WEDNESDAY,Practicals (B1: Library B2: CNL B3: ADSL B4: VAD),,SHORT BREAK,Practicals (B1: NC3 B2: Library B3: WAD B4: CNL),,LUNCH BREAK,SWL CR 41,EMSP (AP) CR 41,SHORT BREAK,Practicals (B1: SWLL B2: SWLL B3: SWLL B4: SWLL),
THURSDAY,CN (MM) CR 41,ADSA (AK) CR 41,SHORT BREAK,CN (MM) CR 41,ADSA (AK) CR 41,LUNCH BREAK,MDM (ASG) CR 41,,SHORT BREAK,,
FRIDAY,ADSA (AK) CR 41,CN (MM) CR 41,SHORT BREAK,Practicals (B1:VAD B2: NC3 B3: Library B4: ADSL),,LUNCH BREAK,OE (HJ) CR 41,,SHORT BREAK,,
SATURDAY,,,,,,,,,,,
