DAY/Time,9 AM to 10 AM,10 AM to 11 AM,11:00 AM to 11:15 AM,11:15 AM to 12:15 PM,12:15 PM to 1:15 PM,1:15 PM to 2:15 PM,2:15 PM to 3:15 PM,3:15 PM to 4:15 PM,4:15 PM to 4:30 PM,4:30 PM to 5:30 PM,5:30 PM to 6:30 PM
MONDAY,Library,WAD(DG) CR 40,SHORT BREAK,ADSA(RS) CR 40,SE(DJ) CR 40,LUNCH BREAK,Practicals (C1: ADSAL C2: Library C3: WAD C4: NC3),,SHORT BREAK,CN(RP) CR 43,ADSA(RS) CR 43
TUESDAY,Practicals (C1: VAD C2: ADSAL C3: CNL C4: WAD),,SHORT BREAK,CN(RP) CR 41,SWL CR 41,LUNCH BREAK,SE(DJ) CR 41,EMSP(MB) CR 41,SHORT BREAK,,
WEDNESDAY,,,SHORT BREAK,NC4 CR 41,,LUNCH BREAK,Practicals (C1: NC3 C2: WAD C3: ADSAL C4: CNL),,SHORT BREAK,Practicals (C1: SWLL C2: SWLL C3: SWLL C4: SWLL),
THURSDAY,SDG CR 43,,SHORT BREAK,Practicals (C1: Library C2: CNL C3: NC3 C4: ADSAL),,LUNCH BREAK,MDM CR 41,,SHORT BREAK,CN(RP) CR 40,ADSA(RS) CR 40
FRIDAY,Practicals (C1: CNL C2: NC3 C3: Library C4: Library),,SHORT BREAK,OE (PB) CR-42,,LUNCH BREAK,EMSP(MB) CR 40,TG MEETING,SHORT BREAK,,
SATURDAY,,,,,,,,,,,
