DAY/Time,9 AM to 10 AM,10 AM to 11 AM,11:00 AM to 11:15 AM,11:15 AM to 12:15 PM,12:15 PM to 1:15 PM,1:15 PM to 2:15 PM,2:15 PM to 3:15 PM,3:15 PM to 4:15 PM,4:15 PM to 4:30 PM,4:30 PM to 5:30 PM,5:30 PM to 6:30 PM
MONDAY,Practicals (B1:WADL B2: CNSL B3: CNSL B4: CNSL),,SHORT BREAK,CC(DJ) CR 16,CNS(SG) CR 16,LUNCH BREAK,TG Meeting,Library,SHORT BREAK,,
TUESDAY,,,SHORT BREAK,Practicals (B1: Internship B2: Internship B3: Internship B4: Internship),,LUNCH BREAK,Practicals (B1: CCL B2: WADL B3: CNSL B4: Library),,SHORT BREAK,CNS(SG) CR 41,
WEDNESDAY,DSBDA(SSK) CR 41,WAD(JP) CR 41,SHORT BREAK,Practicals (B1: CNSL B2: CCL B3: WADL B4: DSBDAL),,LUNCH BREAK,CC(DJ) CR 40,WAD(JP) CR 40,SHORT BREAK,CNS(SG) CR 43,
THURSDAY,Practicals (B1: Internship B2: Internship B3: DSBDAL B4: CNSL),,SHORT BREAK,Audit Course-6,,LUNCH BREAK,Practicals (B1: DSBDAL B2: CNSL B3: CCL B4: WADL),,SHORT BREAK,,
FRIDAY,DSBDA(SSK) CR 43,DSBDA(SSK) CR 43,SHORT BREAK,WAD(JP) CR 16,CC(DJ) CR 41,LUNCH BREAK,Practicals (B1: CNSL B2: DSBDAL B3: Library B4: CCL),,SHORT BREAK,,
SATURDAY,,,,,,,,,,,
