DAY/Time,9 AM to 10 AM,10 AM to 11 AM,11:00 AM to 11:15 AM,11:15 AM to 12:15 PM,12:15 PM to 1:15 PM,1:15 PM to 2:15 PM,2:15 PM to 3:15 PM,3:15 PM to 4:15 PM,4:15 PM to 4:30 PM,4:30 PM to 5:30 PM,5:30 PM to 6:30 PM
MONDAY,,,SHORT BREAK,EL-5(GE)(ASG) CR 12,EL-6(BT)(HP) CR-12,LUNCH BREAK,DS (HJ) CR 12,TG Meeting,SHORT BREAK,Practicals (A1: LP-5-(DJ) - N/W LAB A2: LP-6(AG)-FPL-1 A3: S&E(PP) -APL(3rd Floor) A4:LP-5(SG)-FPL-3),
TUESDAY,,,SHORT BREAK,EL-6(BT)(HP) CR-12,EL-5(GE)(ASG) CR 12,LUNCH BREAK,DS (HJ) CR 12,DS (HJ) CR 12,SHORT BREAK,Practicals (A1: LP-6-(AG) - FPL-1 A2: LP-5(DJ)-FPL-3 A3: Library A4:S&E(PP)-FPL-2),
WEDNESDAY,,,SHORT BREAK,Practicals (A1: S&E(AP) -FPL-2 A2:LP-5(SG)-H/W A3: Library A4:Library),,LUNCH BREAK,EL-6(BT)(HP) CR-12,Library,SHORT BREAK,Practicals (A1: LP-5(SG)-FPL-2 A2: S&E(PP) -APL(3rd Floor) A3:LP-6(AG)-FPL-1 A4:LP-5(VP)-FPL-3),
THURSDAY,,,SHORT BREAK,EL-5(GE)(ASG) CR 12,Audit-Course-8,LUNCH BREAK,Practicals (A1:Library A2: Library A3: LP-5(SG)-FPL-1 A4:Library),,SHORT BREAK,,
FRIDAY,Practicals (A1: Project-Stage-2 A2: Project-Stage-2 A3: Project-Stage-2 A4:Project-Stage-2),,SHORT BREAK,Practicals (A1: Project-Stage-2 A2: Project-Stage-2 A3: LP-5(SG)-N/W A4:LP-6(AG)-FPL-1),,LUNCH BREAK,Practicals (A1: Project-Stage-2 A2: Project-Stage-2 A3: Project-Stage-2 A4:Project-Stage-2),,SHORT BREAK,,
SATURDAY,,,,,,,,,,,
